NO,道路等级,道路结构,道路曲率,道路坡度,车道信息,左车道线,右车道线,车道线质量,车道线颜色,路面材质
0,高速公路,常规道路,直道,平道,单车道,左单实线,右单实线,清晰,黄色,无
1,高架道路,隧道,弯道,坡道,双车道,左单虚线,右单虚线,模糊,蓝色,无
8,城市道路,Y形合流,直道,平道,双车道,左导流线,右导流线,清晰,蓝色,无
11,城市道路,桥梁,直道,平道,单车道,左单虚线,右三线,模糊,其它,无
17,高速公路,匝道汇入,直道,坡道,双车道,左双实线,右无车道线,清晰,白色,无
18,城市道路,十字路口,弯道,坡道,三车道,左无车道线,右宽虚线,清晰,其它,无
22,高架道路,常规道路,弯道,坡道,双车道,左宽虚线,右三线,难以分辨,蓝色,无
25,城市道路,常规道路,弯道,坡道,双对向车道,左三线,右实虚线,模糊,白色,无
28,高架道路,匝道驶出,弯道,坡道,单车道,左双实线,右虚实线,模糊,黄色,无
29,城市道路,T型路口,弯道,坡道,三车道,左双虚线,右单虚线,模糊,橙色,无
30,城市道路,N对N路口,弯道,坡道,单对向车道,左虚实线,右宽虚线,模糊,蓝色,无
32,城市道路,桥梁,弯道,坡道,单对向车道,左宽虚线,右无车道线,清晰,橙色,无
34,城市道路,环岛路口,弯道,坡道,双对向车道,左单虚线,右虚实线,清晰,白色,无
35,高速公路,隧道,弯道,坡道,三车道,左实虚线,右三线,混乱,橙色,无
36,高速公路,匝道驶出,弯道,坡道,三车道,左虚实线,右单虚线,清晰,其它,无
48,高速公路,常规道路,弯道,坡道,三车道,左单虚线,右宽虚线,混乱,橙色,无
51,高速公路,匝道驶出,弯道,坡道,双车道,左单实线,右宽虚线,混乱,蓝色,无
58,高速公路,隧道,弯道,坡道,三车道,左双实线,右单实线,混乱,其它,无
62,高速公路,桥梁,弯道,坡道,单车道,左虚实线,右单实线,清晰,黄色,无
64,高速公路,匝道汇入,弯道,坡道,单车道,左三线,右宽虚线,清晰,橙色,无
66,高速公路,常规道路,弯道,坡道,三车道,左双虚线,右虚实线,清晰,其它,无
68,高速公路,匝道汇入,弯道,坡道,单车道,左宽虚线,右虚实线,清晰,黄色,无
69,高速公路,桥梁,弯道,坡道,单车道,左单实线,右双虚线,清晰,白色,无
76,高速公路,匝道驶出,弯道,坡道,单车道,左三线,右单实线,清晰,黄色,无
78,高速公路,隧道,弯道,坡道,单车道,左三线,右宽虚线,清晰,黄色,无
80,高速公路,匝道汇入,弯道,坡道,单车道,左双虚线,右宽虚线,清晰,黄色,无
81,高速公路,常规道路,弯道,坡道,单车道,左实虚线,右双实线,清晰,黄色,无
83,高速公路,匝道汇入,弯道,坡道,单车道,左虚实线,右实虚线,清晰,黄色,无
84,高速公路,匝道驶出,弯道,坡道,单车道,左导流线,右三线,清晰,黄色,无
88,高速公路,桥梁,弯道,坡道,单车道,左三线,右宽虚线,清晰,黄色,无
90,高速公路,常规道路,弯道,坡道,单车道,左双实线,右单虚线,清晰,黄色,无
92,高速公路,隧道,弯道,坡道,单车道,左单实线,右实虚线,清晰,黄色,无
94,高速公路,匝道汇入,弯道,坡道,单车道,左单虚线,右实虚线,清晰,黄色,无
95,高速公路,桥梁,弯道,坡道,单车道,左双实线,右单虚线,清晰,黄色,无
99,高速公路,匝道驶出,弯道,坡道,单车道,左无车道线,右导流线,清晰,黄色,无
100,高速公路,匝道汇入,弯道,坡道,单车道,左单实线,右单虚线,清晰,黄色,无
101,高速公路,匝道驶出,弯道,坡道,单车道,左实虚线,右实虚线,清晰,黄色,无
103,高速公路,隧道,弯道,坡道,单车道,左宽虚线,右双实线,清晰,黄色,无
105,高速公路,常规道路,弯道,坡道,单车道,左无车道线,右无车道线,清晰,黄色,无
111,高速公路,桥梁,弯道,坡道,单车道,左实虚线,右双实线,清晰,黄色,无
112,高速公路,匝道汇入,弯道,坡道,单车道,左实虚线,右双虚线,清晰,黄色,无
116,高速公路,常规道路,弯道,坡道,单车道,左单虚线,右双虚线,清晰,黄色,无
117,高速公路,隧道,弯道,坡道,单车道,左单虚线,右虚实线,清晰,黄色,无
119,高速公路,匝道驶出,弯道,坡道,单车道,左单虚线,右双实线,清晰,黄色,无
